verbatimIdentification,cleanedTaxonomy,ambiguous,selected_match,name_change,scientificName,taxonRank,scientificNameID,kingdom,phylum,class,order,family,genus,match_type_debug,nameAccordingTo
Eukaryota;Chordata;Actinopteri;Anguilliformes;Congridae;Rhynchoconger;Rhynchoconger flavus,Eukaryota;Chordata;Actinopteri;Anguilliformes;Congridae;Rhynchoconger;Rhynchoconger flavus,False,False,False,Rhynchoconger flavus,Species,urn:lsid:marinespecies.org:taxname:158571,Animalia,Chordata,Teleostei,Anguilliformes,Congridae,Rhynchoconger,Success_Batch_Rhynchoconger flavus,WoRMS
Eukaryota;Chordata;Actinopteri;Anguilliformes;Congridae;Uroconger;Uroconger syringinus,Eukaryota;Chordata;Actinopteri;Anguilliformes;Congridae;Uroconger;Uroconger syringinus,False,True,False,Uroconger syringinus,Species,urn:lsid:marinespecies.org:taxname:158574,Animalia,Chordata,Teleostei,Anguilliformes,Congridae,Uroconger,Success_Batch_Uroconger syringinus,WoRMS
Eukaryota;Chordata;Actinopteri;Anguilliformes;Congridae;Xenomystax,Eukaryota;Chordata;Actinopteri;Anguilliformes;Congridae;Xenomystax,False,True,False,Xenomystax,Genus,urn:lsid:marinespecies.org:taxname:271244,Animalia,Chordata,Teleostei,Anguilliformes,Congridae,Xenomystax,Success_Batch_Xenomystax,WoRMS
Eukaryota;Chordata;Actinopteri;Anguilliformes;Nettastomatidae;Hoplunnis,Eukaryota;Chordata;Actinopteri;Anguilliformes;Nettastomatidae;Hoplunnis,False,True,False,Hoplunnis,Genus,urn:lsid:marinespecies.org:taxname:158589,Animalia,Chordata,Teleostei,Anguilliformes,Nettastomatidae,Hoplunnis,Success_Batch_Hoplunnis,WoRMS
Eukaryota;Chordata;Actinopteri;Anguilliformes;Nettastomatidae;Hoplunnis;Hoplunnis tenuis,Eukaryota;Chordata;Actinopteri;Anguilliformes;Nettastomatidae;Hoplunnis;Hoplunnis tenuis,False,True,False,Hoplunnis tenuis,Species,urn:lsid:marinespecies.org:taxname:158591,Animalia,Chordata,Teleostei,Anguilliformes,Nettastomatidae,Hoplunnis,Success_Batch_Hoplunnis tenuis,WoRMS
Eukaryota;Chordata;Actinopteri;Anguilliformes;Nettastomatidae;Hoplunnis;Hoplunnis tenuis,Eukaryota;Chordata;Actinopteri;Anguilliformes;Nettastomatidae;Hoplunnis;Hoplunnis tenuis,False,False,False,Hoplunnis tenuis,Species,urn:lsid:marinespecies.org:taxname:158591,Animalia,Chordata,Teleostei,Anguilliformes,Nettastomatidae,Hoplunnis,Success_Batch_Hoplunnis tenuis,WoRMS
Eukaryota;Chordata;Actinopteri;Anguilliformes;Nettastomatidae;Venefica,Eukaryota;Chordata;Actinopteri;Anguilliformes;Nettastomatidae;Venefica,False,True,False,Venefica,Genus,urn:lsid:marinespecies.org:taxname:125643,Animalia,Chordata,Teleostei,Anguilliformes,Nettastomatidae,Venefica,Success_Batch_Venefica,WoRMS
Eukaryota;Chordata;Actinopteri;Anguilliformes;Ophichthidae,Eukaryota;Chordata;Actinopteri;Anguilliformes;Ophichthidae,False,True,False,Ophichthidae,Family,urn:lsid:marinespecies.org:taxname:125434,Animalia,Chordata,Teleostei,Anguilliformes,Ophichthidae,,Success_Batch_Ophichthidae,WoRMS
Eukaryota;Chordata;Actinopteri;Anguilliformes;Ophichthidae,Eukaryota;Chordata;Actinopteri;Anguilliformes;Ophichthidae,False,False,False,Ophichthidae,Family,urn:lsid:marinespecies.org:taxname:125434,Animalia,Chordata,Teleostei,Anguilliformes,Ophichthidae,,Success_Batch_Ophichthidae,WoRMS
Eukaryota;Chordata;Actinopteri;Anguilliformes;Synaphobranchidae;Dysomma;Dysomma anguillare,Eukaryota;Chordata;Actinopteri;Anguilliformes;Synaphobranchidae;Dysomma;Dysomma anguillare,False,True,False,Dysomma anguillare,Species,urn:lsid:marinespecies.org:taxname:221386,Animalia,Chordata,Teleostei,Anguilliformes,Synaphobranchidae,Dysomma,Success_Batch_Dysomma anguillare,WoRMS
