verbatimIdentification,cleanedTaxonomy,selected_match,scientificName,confidence,taxonRank,taxonID,kingdom,phylum,class,order,family,genus,match_type_debug,nameAccordingTo
Eukaryota;Chordata;Actinopteri;Anguilliformes;Nettastomatidae;Hoplunnis,Eukaryota;Chordata;Actinopteri;Anguilliformes;Nettastomatidae;Hoplunnis,True,"Hoplunnis Kaup, 1859",97,genus,gbif:2402938,Animalia,Chordata,,Anguilliformes,Nettastomatidae,Hoplunnis,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Anguilliformes;Nettastomatidae;Hoplunnis;Hoplunnis tenuis,Eukaryota;Chordata;Actinopteri;Anguilliformes;Nettastomatidae;Hoplunnis;Hoplunnis tenuis,True,"Hoplunnis tenuis Ginsburg, 1951",99,species,gbif:2402939,Animalia,Chordata,,Anguilliformes,Nettastomatidae,Hoplunnis,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Anguilliformes;Nettastomatidae;Venefica,Eukaryota;Chordata;Actinopteri;Anguilliformes;Nettastomatidae;Venefica,True,"Venefica Jordan & Davis, 1891",97,genus,gbif:2402908,Animalia,Chordata,,Anguilliformes,Nettastomatidae,Venefica,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Anguilliformes;Ophichthidae,Eukaryota;Chordata;Actinopteri;Anguilliformes;Ophichthidae,True,Ophichthidae,97,family,gbif:2955,Animalia,Chordata,,Anguilliformes,Ophichthidae,,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Anguilliformes;Synaphobranchidae;Dysomma;Dysomma anguillare,Eukaryota;Chordata;Actinopteri;Anguilliformes;Synaphobranchidae;Dysomma;Dysomma anguillare,True,"Dysomma anguillare Barnard, 1923",100,species,gbif:5212921,Animalia,Chordata,,Anguilliformes,Synaphobranchidae,Dysomma,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Anguilliformes;Synaphobranchidae;Dysomma;Dysomma anguillare,Eukaryota;Chordata;Actinopteri;Anguilliformes;Synaphobranchidae;Dysomma;Dysomma anguillare,False,"Dysomma anguillare Barnard, 1923",99,species,gbif:5212921,Animalia,Chordata,,Anguilliformes,Synaphobranchidae,Dysomma,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Argentiniformes;Argentinidae;Argentina;Argentina sialis,Eukaryota;Chordata;Actinopteri;Argentiniformes;Argentinidae;Argentina;Argentina sialis,True,"Argentina sialis Gilbert, 1890",100,species,gbif:5214451,Animalia,Chordata,,Osmeriformes,Argentinidae,Argentina,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Argentiniformes;Argentinidae;Argentina;Argentina sialis,Eukaryota;Chordata;Actinopteri;Argentiniformes;Argentinidae;Argentina;Argentina sialis,False,"Argentina sialis Gilbert, 1890",99,species,gbif:5214451,Animalia,Chordata,,Osmeriformes,Argentinidae,Argentina,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Argentiniformes;Argentinidae;Argentina;Argentina striata,Eukaryota;Chordata;Actinopteri;Argentiniformes;Argentinidae;Argentina;Argentina striata,True,"Argentina striata Goode & Bean, 1896",100,species,gbif:5214449,Animalia,Chordata,,Osmeriformes,Argentinidae,Argentina,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Argentiniformes;Argentinidae;Argentina;Argentina striata,Eukaryota;Chordata;Actinopteri;Argentiniformes;Argentinidae;Argentina;Argentina striata,False,"Argentina striata Goode & Bean, 1896",99,species,gbif:5214449,Animalia,Chordata,,Osmeriformes,Argentinidae,Argentina,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Argentiniformes;Bathylagidae,Eukaryota;Chordata;Actinopteri;Argentiniformes;Bathylagidae,True,Bathylagidae,97,family,gbif:4223,Animalia,Chordata,,Osmeriformes,Bathylagidae,,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Ateleopodiformes;Ateleopodidae;Ijimaia,Eukaryota;Chordata;Actinopteri;Ateleopodiformes;Ateleopodidae;Ijimaia,True,Animalia,95,kingdom,gbif:1,Animalia,,,,,,GBIF_HIGHERRANK,GBIF
Eukaryota;Chordata;Actinopteri;Aulopiformes;Chlorophthalmidae;Chlorophthalmus,Eukaryota;Chordata;Actinopteri;Aulopiformes;Chlorophthalmidae;Chlorophthalmus,True,"Chlorophthalmus Bonaparte, 1840",97,genus,gbif:2401314,Animalia,Chordata,,Aulopiformes,Chlorophthalmidae,Chlorophthalmus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Aulopiformes;Chlorophthalmidae;Chlorophthalmus;Chlorophthalmus agassizi,Eukaryota;Chordata;Actinopteri;Aulopiformes;Chlorophthalmidae;Chlorophthalmus;Chlorophthalmus agassizi,True,"Chlorophthalmus agassizi Bonaparte, 1840",100,species,gbif:2401401,Animalia,Chordata,,Aulopiformes,Chlorophthalmidae,Chlorophthalmus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Aulopiformes;Chlorophthalmidae;Chlorophthalmus;Chlorophthalmus agassizi,Eukaryota;Chordata;Actinopteri;Aulopiformes;Chlorophthalmidae;Chlorophthalmus;Chlorophthalmus agassizi,False,"Chlorophthalmus agassizi Bonaparte, 1840",99,species,gbif:2401401,Animalia,Chordata,,Aulopiformes,Chlorophthalmidae,Chlorophthalmus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Aulopiformes;Paralepididae,Eukaryota;Chordata;Actinopteri;Aulopiformes;Paralepididae,True,Paralepididae,97,family,gbif:2964,Animalia,Chordata,,Aulopiformes,Paralepididae,,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Aulopiformes;Paralepididae,Eukaryota;Chordata;Actinopteri;Aulopiformes;Paralepididae,False,Paralepididae,95,family,gbif:2964,Animalia,Chordata,,Aulopiformes,Paralepididae,,GBIF_HIGHERRANK,GBIF
Eukaryota;Chordata;Actinopteri;Aulopiformes;Paralepididae;Lestidiops,Eukaryota;Chordata;Actinopteri;Aulopiformes;Paralepididae;Lestidiops,True,"Lestidiops Hubbs, 1916",97,genus,gbif:2401490,Animalia,Chordata,,Aulopiformes,Paralepididae,Lestidiops,GBIF_EXACT,GBIF
