verbatimIdentification,cleanedTaxonomy,selected_match,scientificName,confidence,taxonRank,taxonID,kingdom,phylum,class,order,family,genus,match_type_debug,nameAccordingTo
Eukaryota;Chordata;Actinopteri;Gadiformes;Steindachneriidae;Steindachneria;Steindachneria argentea,Eukaryota;Chordata;Actinopteri;Gadiformes;Steindachneriidae;Steindachneria;Steindachneria argentea,True,"Steindachneria argentea Goode & Bean, 1896",100,species,gbif:2415690,Animalia,Chordata,,Gadiformes,Merlucciidae,Steindachneria,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae,Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae,True,Gobiidae,97,family,gbif:4274,Animalia,Chordata,,Perciformes,Gobiidae,,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae,Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae,False,Gobiidae,95,family,gbif:4274,Animalia,Chordata,,Perciformes,Gobiidae,,GBIF_HIGHERRANK,GBIF
Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Bollmannia;Bollmannia communis,Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Bollmannia;Bollmannia communis,True,"Bollmannia communis Ginsburg, 1942",100,species,gbif:2377502,Animalia,Chordata,,Perciformes,Gobiidae,Bollmannia,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Bollmannia;Bollmannia communis,Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Bollmannia;Bollmannia communis,False,"Bollmannia communis Ginsburg, 1942",99,species,gbif:2377502,Animalia,Chordata,,Perciformes,Gobiidae,Bollmannia,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Glossogobius;Glossogobius giuris,Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Glossogobius;Glossogobius giuris,True,"Glossogobius giuris (Hamilton, 1822)",100,species,gbif:2378087,Animalia,Chordata,,Perciformes,Gobiidae,Glossogobius,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Glossogobius;Glossogobius giuris,Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Glossogobius;Glossogobius giuris,False,"Glossogobius giuris (Hamilton, 1822)",99,species,gbif:2378087,Animalia,Chordata,,Perciformes,Gobiidae,Glossogobius,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Istiophoriformes;Xiphiidae;Xiphias;Xiphias gladius,Eukaryota;Chordata;Actinopteri;Istiophoriformes;Xiphiidae;Xiphias;Xiphias gladius,True,"Xiphias gladius Linnaeus, 1758",100,species,gbif:2397850,Animalia,Chordata,,Perciformes,Xiphiidae,Xiphias,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Istiophoriformes;Xiphiidae;Xiphias;Xiphias gladius,Eukaryota;Chordata;Actinopteri;Istiophoriformes;Xiphiidae;Xiphias;Xiphias gladius,False,"Xiphias gladius Linnaeus, 1758",99,species,gbif:2397850,Animalia,Chordata,,Perciformes,Xiphiidae,Xiphias,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Xyrichtys;Xyrichtys novacula,Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Xyrichtys;Xyrichtys novacula,True,"Xyrichtys novacula (Linnaeus, 1758)",100,species,gbif:2383057,Animalia,Chordata,,Perciformes,Labridae,Xyrichtys,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Xyrichtys;Xyrichtys novacula,Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Xyrichtys;Xyrichtys novacula,False,"Xyrichtys novacula (Linnaeus, 1758)",99,species,gbif:2383057,Animalia,Chordata,,Perciformes,Labridae,Xyrichtys,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Lampriformes;Trachipteridae;Zu;Zu cristatus,Eukaryota;Chordata;Actinopteri;Lampriformes;Trachipteridae;Zu;Zu cristatus,True,"Zu cristatus (Bonelli, 1819)",100,species,gbif:2400533,Animalia,Chordata,,Lampriformes,Trachipteridae,Zu,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Lophiiformes;Ogcocephalidae;Zalieutes;Zalieutes mcgintyi,Eukaryota;Chordata;Actinopteri;Lophiiformes;Ogcocephalidae;Zalieutes;Zalieutes mcgintyi,True,"Zalieutes mcgintyi (Fowler, 1952)",100,species,gbif:2414861,Animalia,Chordata,,Lophiiformes,Ogcocephalidae,Zalieutes,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Lophiiformes;Ogcocephalidae;Zalieutes;Zalieutes mcgintyi,Eukaryota;Chordata;Actinopteri;Lophiiformes;Ogcocephalidae;Zalieutes;Zalieutes mcgintyi,False,"Zalieutes mcgintyi (Fowler, 1952)",99,species,gbif:2414861,Animalia,Chordata,,Lophiiformes,Ogcocephalidae,Zalieutes,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Lutjanus;Lutjanus campechanus,Eukaryota;Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Lutjanus;Lutjanus campechanus,True,"Lutjanus campechanus (Poey, 1860)",100,species,gbif:2384865,Animalia,Chordata,,Perciformes,Lutjanidae,Lutjanus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Lutjanus;Lutjanus campechanus,Eukaryota;Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Lutjanus;Lutjanus campechanus,False,"Lutjanus campechanus (Poey, 1860)",99,species,gbif:2384865,Animalia,Chordata,,Perciformes,Lutjanidae,Lutjanus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Pristipomoides,Eukaryota;Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Pristipomoides,True,"Pristipomoides Bleeker, 1852",97,genus,gbif:2374812,Animalia,Chordata,,Perciformes,Lutjanidae,Pristipomoides,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Pristipomoides;Pristipomoides aquilonaris,Eukaryota;Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Pristipomoides;Pristipomoides aquilonaris,True,"Pristipomoides aquilonaris (Goode & Bean, 1896)",100,species,gbif:2385178,Animalia,Chordata,,Perciformes,Lutjanidae,Pristipomoides,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Pristipomoides;Pristipomoides aquilonaris,Eukaryota;Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Pristipomoides;Pristipomoides aquilonaris,False,"Pristipomoides aquilonaris (Goode & Bean, 1896)",99,species,gbif:2385178,Animalia,Chordata,,Perciformes,Lutjanidae,Pristipomoides,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Centrobranchus;Centrobranchus nigroocellatus,Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Centrobranchus;Centrobranchus nigroocellatus,True,"Centrobranchus nigroocellatus (Günther, 1873)",100,species,gbif:2405822,Animalia,Chordata,,Myctophiformes,Myctophidae,Centrobranchus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Centrobranchus;Centrobranchus nigroocellatus,Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Centrobranchus;Centrobranchus nigroocellatus,False,"Centrobranchus nigroocellatus (Günther, 1873)",99,species,gbif:2405822,Animalia,Chordata,,Myctophiformes,Myctophidae,Centrobranchus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Dasyscopelus;Dasyscopelus obtusirostris,Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Dasyscopelus;Dasyscopelus obtusirostris,True,"Dasyscopelus obtusirostris (Tåning, 1928)",99,species,gbif:11174747,Animalia,Chordata,,Myctophiformes,Myctophidae,Myctophum,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Diaphus,Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Diaphus,True,"Diaphus Eigenmann & Eigenmann, 1890",97,genus,gbif:2406168,Animalia,Chordata,,Myctophiformes,Myctophidae,Diaphus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Diaphus;Diaphus dumerilii,Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Diaphus;Diaphus dumerilii,True,"Diaphus dumerilii (Bleeker, 1856)",99,species,gbif:2406248,Animalia,Chordata,,Myctophiformes,Myctophidae,Diaphus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Diaphus;Diaphus splendidus,Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Diaphus;Diaphus splendidus,True,"Diaphus splendidus (Brauer, 1904)",100,species,gbif:2406262,Animalia,Chordata,,Myctophiformes,Myctophidae,Diaphus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Diaphus;Diaphus splendidus,Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Diaphus;Diaphus splendidus,True,"Diaphus splendidus (Prochazka, 1893)",100,species,gbif:11406477,Animalia,Chordata,,Myctophiformes,Myctophidae,Diaphus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Diogenichthys;Diogenichthys atlanticus,Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Diogenichthys;Diogenichthys atlanticus,False,"Diogenichthys atlanticus (Tåning, 1928)",100,species,gbif:2406022,Animalia,Chordata,,Myctophiformes,Myctophidae,Diogenichthys,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Diogenichthys;Diogenichthys atlanticus,Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Diogenichthys;Diogenichthys atlanticus,True,"Diogenichthys atlanticus (Tåning, 1928)",99,species,gbif:2406022,Animalia,Chordata,,Myctophiformes,Myctophidae,Diogenichthys,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Hygophum,Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Hygophum,True,"Hygophum Bolin, 1939",96,genus,gbif:5213287,Animalia,Chordata,,Myctophiformes,Myctophidae,Hygophum,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Lampanyctus,Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Lampanyctus,True,"Lampanyctus Bonaparte, 1840",97,genus,gbif:2405956,Animalia,Chordata,,Myctophiformes,Myctophidae,Lampanyctus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Lepidophanes;Lepidophanes guentheri,Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Lepidophanes;Lepidophanes guentheri,False,"Lepidophanes guentheri (Goode & Bean, 1896)",100,species,gbif:2405710,Animalia,Chordata,,Myctophiformes,Myctophidae,Lepidophanes,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Lepidophanes;Lepidophanes guentheri,Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Lepidophanes;Lepidophanes guentheri,True,"Lepidophanes guentheri (Goode & Bean, 1896)",99,species,gbif:2405710,Animalia,Chordata,,Myctophiformes,Myctophidae,Lepidophanes,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Myctophum,Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Myctophum,True,"Myctophum Rafinesque, 1810",97,genus,gbif:2405851,Animalia,Chordata,,Myctophiformes,Myctophidae,Myctophum,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Myctophum;Myctophum affine,Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Myctophum;Myctophum affine,False,"Myctophum affine (Lütken, 1892)",100,species,gbif:2405853,Animalia,Chordata,,Myctophiformes,Myctophidae,Myctophum,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Myctophum;Myctophum affine,Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Myctophum;Myctophum affine,True,"Myctophum affine (Lütken, 1892)",99,species,gbif:2405853,Animalia,Chordata,,Myctophiformes,Myctophidae,Myctophum,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Notolychnus;Notolychnus valdiviae,Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Notolychnus;Notolychnus valdiviae,True,"Notolychnus valdiviae (Brauer, 1904)",100,species,gbif:2405778,Animalia,Chordata,,Myctophiformes,Myctophidae,Notolychnus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;NA;Malacanthidae;Lopholatilus;Lopholatilus chamaeleonticeps,Eukaryota;Chordata;Actinopteri;NA;Malacanthidae;Lopholatilus;Lopholatilus chamaeleonticeps,False,"Lopholatilus chamaeleonticeps Goode & Bean, 1879",100,species,gbif:2389833,Animalia,Chordata,,Perciformes,Malacanthidae,Lopholatilus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;NA;Malacanthidae;Lopholatilus;Lopholatilus chamaeleonticeps,Eukaryota;Chordata;Actinopteri;NA;Malacanthidae;Lopholatilus;Lopholatilus chamaeleonticeps,True,"Lopholatilus chamaeleonticeps Goode & Bean, 1879",99,species,gbif:2389833,Animalia,Chordata,,Perciformes,Malacanthidae,Lopholatilus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Ophidiiformes;Carapidae;Carapus;Carapus bermudensis,Eukaryota;Chordata;Actinopteri;Ophidiiformes;Carapidae;Carapus;Carapus bermudensis,True,"Carapus bermudensis (Jones, 1874)",100,species,gbif:5203082,Animalia,Chordata,,Ophidiiformes,Carapidae,Carapus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Ophidiiformes;Ophidiidae,Eukaryota;Chordata;Actinopteri;Ophidiiformes;Ophidiidae,True,Ophidiidae,97,family,gbif:8476,Animalia,Chordata,,Ophidiiformes,Ophidiidae,,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Ophidiiformes;Ophidiidae;Benthocometes;Benthocometes robustus,Eukaryota;Chordata;Actinopteri;Ophidiiformes;Ophidiidae;Benthocometes;Benthocometes robustus,False,"Benthocometes robustus (Goode & Bean, 1886)",100,species,gbif:2346002,Animalia,Chordata,,Ophidiiformes,Ophidiidae,Benthocometes,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Ophidiiformes;Ophidiidae;Benthocometes;Benthocometes robustus,Eukaryota;Chordata;Actinopteri;Ophidiiformes;Ophidiidae;Benthocometes;Benthocometes robustus,True,"Benthocometes robustus (Goode & Bean, 1886)",99,species,gbif:2346002,Animalia,Chordata,,Ophidiiformes,Ophidiidae,Benthocometes,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Ophidiiformes;Ophidiidae;Raneya,Eukaryota;Chordata;Actinopteri;Ophidiiformes;Ophidiidae;Raneya,True,"Raneya Robins, 1961",97,genus,gbif:2345622,Animalia,Chordata,,Ophidiiformes,Ophidiidae,Raneya,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Perciformes;Bembropidae;Bembrops;Bembrops anatirostris,Eukaryota;Chordata;Actinopteri;Perciformes;Bembropidae;Bembrops;Bembrops anatirostris,False,"Bembrops anatirostris Ginsburg, 1955",100,species,gbif:2389185,Animalia,Chordata,,Perciformes,Percophidae,Bembrops,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Perciformes;Bembropidae;Bembrops;Bembrops anatirostris,Eukaryota;Chordata;Actinopteri;Perciformes;Bembropidae;Bembrops;Bembrops anatirostris,True,"Bembrops anatirostris Ginsburg, 1955",99,species,gbif:2389185,Animalia,Chordata,,Perciformes,Percophidae,Bembrops,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Perciformes;Peristediidae;Peristedion,Eukaryota;Chordata;Actinopteri;Perciformes;Peristediidae;Peristedion,True,"Peristedion Lacepède, 1801",97,genus,gbif:2334959,Animalia,Chordata,,Scorpaeniformes,Peristediidae,Peristedion,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Perciformes;Peristediidae;Peristedion;Peristedion miniatum,Eukaryota;Chordata;Actinopteri;Perciformes;Peristediidae;Peristedion;Peristedion miniatum,False,"Peristedion miniatum Goode, 1880",100,species,gbif:2335006,Animalia,Chordata,,Scorpaeniformes,Peristediidae,Peristedion,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Perciformes;Peristediidae;Peristedion;Peristedion miniatum,Eukaryota;Chordata;Actinopteri;Perciformes;Peristediidae;Peristedion;Peristedion miniatum,True,"Peristedion miniatum Goode, 1880",99,species,gbif:2335006,Animalia,Chordata,,Scorpaeniformes,Peristediidae,Peristedion,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Perciformes;Scorpaenidae;Pontinus,Eukaryota;Chordata;Actinopteri;Perciformes;Scorpaenidae;Pontinus,True,"Pontinus Poey, 1860",97,genus,gbif:2334672,Animalia,Chordata,,Scorpaeniformes,Scorpaenidae,Pontinus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Perciformes;Scorpaenidae;Pontinus;Pontinus longispinis,Eukaryota;Chordata;Actinopteri;Perciformes;Scorpaenidae;Pontinus;Pontinus longispinis,False,"Pontinus longispinis Goode & Bean, 1896",100,species,gbif:2334682,Animalia,Chordata,,Scorpaeniformes,Scorpaenidae,Pontinus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Perciformes;Scorpaenidae;Pontinus;Pontinus longispinis,Eukaryota;Chordata;Actinopteri;Perciformes;Scorpaenidae;Pontinus;Pontinus longispinis,True,"Pontinus longispinis Goode & Bean, 1896",99,species,gbif:2334682,Animalia,Chordata,,Scorpaeniformes,Scorpaenidae,Pontinus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Perciformes;Scorpaenidae;Scorpaena;Scorpaena agassizii,Eukaryota;Chordata;Actinopteri;Perciformes;Scorpaenidae;Scorpaena;Scorpaena agassizii,True,"Scorpaena agassizii Goode & Bean, 1896",100,species,gbif:2334589,Animalia,Chordata,,Scorpaeniformes,Scorpaenidae,Scorpaena,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Baldwinella;Baldwinella aureorubens,Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Baldwinella;Baldwinella aureorubens,True,"Baldwinella aureorubens (Longley, 1935)",99,species,gbif:8349610,Animalia,Chordata,,Perciformes,Serranidae,Baldwinella,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Bathyanthias;Bathyanthias cubensis,Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Bathyanthias;Bathyanthias cubensis,False,"Bathyanthias cubensis (Schultz, 1958)",100,species,gbif:2387518,Animalia,Chordata,,Perciformes,Serranidae,Bathyanthias,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Bathyanthias;Bathyanthias cubensis,Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Bathyanthias;Bathyanthias cubensis,True,"Bathyanthias cubensis (Schultz, 1958)",99,species,gbif:2387518,Animalia,Chordata,,Perciformes,Serranidae,Bathyanthias,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Epinephelus;Epinephelus flavolimbatus,Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Epinephelus;Epinephelus flavolimbatus,True,"Epinephelus flavolimbatus Poey, 1865",100,species,gbif:2388334,Animalia,Chordata,,Perciformes,Serranidae,Hyporthodus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Hemanthias;Hemanthias leptus,Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Hemanthias;Hemanthias leptus,False,"Hemanthias leptus (Ginsburg, 1952)",100,species,gbif:2387438,Animalia,Chordata,,Perciformes,Serranidae,Hemanthias,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Hemanthias;Hemanthias leptus,Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Hemanthias;Hemanthias leptus,True,"Hemanthias leptus (Ginsburg, 1952)",99,species,gbif:2387438,Animalia,Chordata,,Perciformes,Serranidae,Hemanthias,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Serranus,Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Serranus,True,"Serranus Cuvier, 1816",97,genus,gbif:9373339,Animalia,Chordata,,Perciformes,Serranidae,Serranus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Serranus;Serranus atrobranchus,Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Serranus;Serranus atrobranchus,False,"Serranus atrobranchus (Cuvier, 1829)",100,species,gbif:2388751,Animalia,Chordata,,Perciformes,Serranidae,Serranus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Serranus;Serranus atrobranchus,Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Serranus;Serranus atrobranchus,True,"Serranus atrobranchus (Cuvier, 1829)",99,species,gbif:2388751,Animalia,Chordata,,Perciformes,Serranidae,Serranus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Perciformes;Triglidae;Prionotus;Prionotus stearnsi,Eukaryota;Chordata;Actinopteri;Perciformes;Triglidae;Prionotus;Prionotus stearnsi,False,"Prionotus stearnsi Jordan & Swain, 1885",100,species,gbif:5201569,Animalia,Chordata,,Scorpaeniformes,Triglidae,Prionotus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Perciformes;Triglidae;Prionotus;Prionotus stearnsi,Eukaryota;Chordata;Actinopteri;Perciformes;Triglidae;Prionotus;Prionotus stearnsi,True,"Prionotus stearnsi Jordan & Swain, 1885",99,species,gbif:5201569,Animalia,Chordata,,Scorpaeniformes,Triglidae,Prionotus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Bothidae;Trichopsetta;Trichopsetta ventralis,Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Bothidae;Trichopsetta;Trichopsetta ventralis,False,"Trichopsetta ventralis (Goode & Bean, 1885)",100,species,gbif:2408376,Animalia,Chordata,,Pleuronectiformes,Bothidae,Trichopsetta,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Bothidae;Trichopsetta;Trichopsetta ventralis,Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Bothidae;Trichopsetta;Trichopsetta ventralis,True,"Trichopsetta ventralis (Goode & Bean, 1885)",99,species,gbif:2408376,Animalia,Chordata,,Pleuronectiformes,Bothidae,Trichopsetta,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Cyclopsettidae;Citharichthys;Citharichthys cornutus,Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Cyclopsettidae;Citharichthys;Citharichthys cornutus,False,"Citharichthys cornutus (Günther, 1880)",100,species,gbif:2408713,Animalia,Chordata,,Pleuronectiformes,Paralichthyidae,Citharichthys,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Cyclopsettidae;Citharichthys;Citharichthys cornutus,Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Cyclopsettidae;Citharichthys;Citharichthys cornutus,True,"Citharichthys cornutus (Günther, 1880)",99,species,gbif:2408713,Animalia,Chordata,,Pleuronectiformes,Paralichthyidae,Citharichthys,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Cyclopsettidae;Syacium;Syacium papillosum,Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Cyclopsettidae;Syacium;Syacium papillosum,False,"Syacium papillosum (Linnaeus, 1758)",100,species,gbif:2408759,Animalia,Chordata,,Pleuronectiformes,Paralichthyidae,Syacium,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Cyclopsettidae;Syacium;Syacium papillosum,Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Cyclopsettidae;Syacium;Syacium papillosum,True,"Syacium papillosum (Linnaeus, 1758)",99,species,gbif:2408759,Animalia,Chordata,,Pleuronectiformes,Paralichthyidae,Syacium,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Hippoglossina;Hippoglossina oblonga,Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Hippoglossina;Hippoglossina oblonga,False,"Hippoglossina oblonga (Mitchill, 1815)",100,species,gbif:2408805,Animalia,Chordata,,Pleuronectiformes,Paralichthyidae,Hippoglossina,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Hippoglossina;Hippoglossina oblonga,Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Hippoglossina;Hippoglossina oblonga,True,"Hippoglossina oblonga (Mitchill, 1815)",99,species,gbif:2408805,Animalia,Chordata,,Pleuronectiformes,Paralichthyidae,Hippoglossina,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Paralichthys;Paralichthys squamilentus,Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Paralichthys;Paralichthys squamilentus,False,"Paralichthys squamilentus Jordan & Gilbert, 1882",100,species,gbif:2408871,Animalia,Chordata,,Pleuronectiformes,Paralichthyidae,Paralichthys,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Paralichthys;Paralichthys squamilentus,Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Paralichthys;Paralichthys squamilentus,True,"Paralichthys squamilentus Jordan & Gilbert, 1882",99,species,gbif:2408871,Animalia,Chordata,,Pleuronectiformes,Paralichthyidae,Paralichthys,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Polymixiiformes;Polymixiidae;Polymixia,Eukaryota;Chordata;Actinopteri;Polymixiiformes;Polymixiidae;Polymixia,True,"Polymixia Lowe, 1836",97,genus,gbif:2410394,Animalia,Chordata,,Polymixiiformes,Polymixiidae,Polymixia,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Polymixiiformes;Polymixiidae;Polymixia;Polymixia lowei,Eukaryota;Chordata;Actinopteri;Polymixiiformes;Polymixiidae;Polymixia;Polymixia lowei,False,"Polymixia lowei Günther, 1859",100,species,gbif:2410398,Animalia,Chordata,,Polymixiiformes,Polymixiidae,Polymixia,GBIF_EXACT,GBIF
